,text,class
22,"A Set of Basic Input-Output Procedures (Algorithm 335 [15]) By means of the primitives in symbol, outsymbol and length, as requested by this journal's Algorithms Policy [Comm. ACM 10 (Nov. 67), 729] a basic set of input-output procedures is defined aiming at quality and flexibility. Outreal, for instance, is written as a derived procedure; it outputs using the fixed point or the floating point representation, and rounds properly. Variants can easily be written because of the explicit call of the procedures decompose integer and decompose real. The highly recommended practice of echoing input is made easy with one subset of derived procedures (ioi, ior, iob, ioa). The documentation of output in the form of equivalent ALGOL statements is also provided when use is made of the subset oti, otr, otb, ota. The Berkeley style of providing information on the form of output using prior calls of procedures such as real format is defined. A use of the parameter outchannel to provide information for simultaneous output to several channels is suggested. Interrelationship between the declared procedures is furnished in tabular form. ",cacm
4866,"thermal analysis of stagnation regions with emphasis on heat-sustaining nose shapes at hypersonic speeds . thermal analysis of stagnation regions with emphasis on heat-sustaining nose shapes at hypersonic speeds . the leading edges and noses of hypersonic vehicles are subjected to severe aerodynamic heating and must be cooled in some manner-dash e.g., internal convection, transpiration, or radiation . it is this latter mode of handling the problem that is discussed in this paper . neglecting conduction in the leading-edge region, the maximum temperature for long-range hypersonic gliders is of the same order as the melting point of refractory materials, with a corresponding large temperature gradient  away from the leading edge . inclusion of conduction in the aft direction reduces the maximum temperature and distributes the heat to a location that will radiate it out from the surface . for either steady-state or transient conditions, the temperature at the leading edge is reduced by conduction, while the temperature aft of the leading-edge shoulder is increased, thus setting up a heat transmission balance between the convective influx of heat, the redistribution of heat by conduction, and the radiation of heat from the surface . the feasibility of  such a mechanism can be enhanced by suitably choosing leading-edge shapes and materials . the philosophy behind the choice of leading-edge shapes is discussed and the effects of varying parameters, such as shape, diameter, emissivity, conductivity, thickness, etc., are shown . ",cran
1851,"Multiple-Precision Arithmetic and the Exact Calculation of the 3-j, 6-j and 9-j Symbols Described in this paper is a system of general-purpose multiple-precision fixed-point routines and their use in subroutines which calculate exactly the quantum-mechanical 3-j, 6-j and 9-j symbols of large arguments. ",cacm
5155," the extent of the jet interference flow fields . jet effects on cylindrical afterbodies housing sonic and supersonic nozzles which exhaust against a supersonic stream at angles of attack from 90degree to 180degree .  the extent of the jet interference flow fields . jet effects on cylindrical afterbodies housing sonic and supersonic nozzles which exhaust against a supersonic stream at angles of attack from 90degree to 180degree .    an investigation has been made to determine jet effects on cylindrical afterbodies housing sonic and supersonic nozzles which exhaust against a supersonic stream at angles of attack from 90 to 180 . the tests were conducted at a free-stream mach number of 2.91 and at free-stream reynolds numbers, based on body diameter, of 0.15x106 and stream static pressure investigated was from jet off to about 400 .   the data presented herein showed that, in general, variation of the ratio of jet total pressure to free-stream static pressure, jet-exit mach number, and ratio of jet-exit diameter to body diameter had large influences on the body pressures on the windward halves of the after-bodies and negligible influences on the leeward pressures . there was a negligible effect of reynolds number on the body pressures . the ratio of jet total pressure to free-stream static pressure also had a large influence on the base pressures at all angles of attack . schlieren studies showed details of the shock-wave structure caused by the jet and the extent of the jet interference flow fields . ",cran
1329,"Analysis and performance of Inverted Data Base Structures The need to envision and architecture data base systems in a hierarchical level by level framework is stressed. The inverted data base (file) organization is then analyzed, considering implementation oriented aspects. The inverted directory is viewed realistically as another large data base which itself is subjected to inversion. Formulations are derived to estimate average access time (read only) and storage requirements, formalizing the interaction of data base content characteristics, logical complexity of queries, and machine timing and blocking specifications identified as having a first-order effect on performance. The formulations presented are necessary to be used in conjunction with any index selection criteria to determine the optimum set of index keys. ",cacm
3326,"The Implementation, Evaluation, and Refinement of a Manual SDI Service   The Missouri Institute of Psychiatry Library has implemented an inexpensive, manual SDI (Selective Dissemination of Information) service based upon the monthly issues of Index Medicus.. The implementation and refinement of the system are documented, and the very favorable response to the system is examined.. The SDI service is compared to Current Contents, with the finding that 60 percent of the SDI participants prefer it to Current Contents.. For this select portion of researchers the Index Medicus SDI is the more suitable mode of current awareness.. For a significant portion of the MIP staff, however, the score of Index Medicus is too restricted to suitable replace Current Contents.. All SDI users find it highly acceptable curent awareness service for use in addition to Current Contents and have indicated the desire to continue participation in the service.. ",cisi
382,A Sorting Problem and Its Complexity A technique for proving min-max norms of sorting algorithms is given. One new algorithm for finding the minimum and maximum elements of a set with fewest comparisons is proved optimal with this technique. ,cacm
46,Error Function-Large X (Algorithm 180 [S15]) ,cacm
4258,"Problems in Information Retrieval:  Logical Jumps in the Expression of Information   In a structured data base, such as that obtained when information is indexed in a format including explicit relations, retrieval of all relevant items in response to a question may, in some cases, be restricted by technicalities of the structure.. Condensations in the form of logical jumps, or the omission of a concept with one relation out of a string of three concepts with two interstitial relations, have been investigated by two different methods, in order to overcome one of these technicalities.. Thirty-two rules are proposed which could permit the automatic condensation of either of both the stored information and the question, when the concepts and relations are in the form of linear or string display.. Nine rules are proposed for condensation of angular structures.. Other type of logical jump and abbreviation are discussed, together with related studies of expansions and inference steps.. ",cisi
190,"Binary Conversion, With Fixed Decimal Precision, Of a Decimal Fraction ",cacm
2526,Binary Pattern Reconstruction from Projections [Z] (Algorithm R445) ,cacm
1863,Linear Programming Applied to Ultraviolet Absorption Spectroscopy ,cacm
6213,gilles de la tourette syndrome in an autistic child a case of gilles de la tourette syndrome presenting an early infantile autism is described. the treatment applied is outlined. ,med
5618,"investigation of the laminar aerodynamics heat transfer characteristics of a hemisphere cylinder in the langley 11-inch hypersonic tunnel at a mach number of 6. 8. investigation of the laminar aerodynamics heat transfer characteristics of a hemisphere cylinder in the langley 11-inch hypersonic tunnel at a mach number of 6. 8.  a program to investigate the aerodynamic heat transfer of a nonisothermal hemisphere-cylinder has been conducted in the langley 11-inch hypersonic tunnel at a mach number of 6.8 and a reynolds number from approximately 0.14x10 to experimental heat-transfer coefficients were slightly less over the whole body than those predicted by the theory of stine and wanlass (naca technical note 3344) for an isothermal surface . for stations within 45 of the stagnation point the heat-transfer coefficients could be correlated by a single relation between local stanton number and local reynolds number .  pitot pressure profiles taken at a mach number of 6.8 on a hemisphere-cylinder have verified that the local mach number or velocity outside the boundary layer required in the theories may be computed from the surface pressures by using isentropic flow relations and conditions immediately behind a normal shock . the experimental pressure distribution at a mach number of velocity gradients calculated at the stagnation point by using the modified newtonian theory vary with mach number and are in good agreement with those obtained from measured pressures for mach numbers from 1.2 to 6.8 .  at the stagnation point the theory of sibulkin, in which the diameter and conditions behind the normal shock were used, was in good agreement with the experiment when the velocity gradient at the stagnation point appropriate to the free-stream mach number was used . ",cran
5049,on the buckling of truncated conical shells in torsion . on the buckling of truncated conical shells in torsion . the problem of the buckling of thin circular conical frustums in pure torsion is solved in a manner similar to that employed previously by the author for buckling under uniform hydrostatic pressure . synthesis of the numerical results indicates that the critical torsion of a truncated cone is equal to that of an equivalent cylinder whose length and thickness are the axial length and wall thickness of the cone and whose radius is a function of the semivertex angle and the taper ratio of the cone . curves and equations to aid in the analysis of conical frustums are given . it is shown that a previous recommendation for the analysis of truncated cones in torsion may be seriously unconservative in some cases . ,cran
4101,"Breaking the Communication barrier Between Searcher and Literature File: An Interactive Guide   The challenges of design of programming systems, file organization and manipulation, and user-oriented query languages have held the spotlight in the development of data processing support to systems for retrieval of scientific literature.. At BIOSIS, development of such a system from the pragmatic viewpoint of providing viable self-supporting retrieval service from a data base of more than two million references has resulted in focusing attention on supporting the formulation of the information need into an effective computer search specification.. Developed under CPS and now implemented under CICS, the program claims no novelty of structure or technique, but constitutes an innovation in application and goal with primary emphasis on accommodating the behavior of a user not previously knowledgeable about the structure, indexing language, and detailed content of a machine based references file.. ",cisi
2450,"On the Proof of Correctness of a Calendar Program A formal specification is given for a simple calendar program, and the derivation and proof of correctness of the program are sketched. The specification is easy to understand, and its correctness is manifest to humans. ",cacm
5745,"some explicit solutions for constant-temp . magnetogas dynamic channel flow . some explicit solutions for constant-temp . magnetogas dynamic channel flow . in order to simplify the process of estimating the aerodynamic loading on the after portions of slender vehicles, it is frequently assumed that there is no nose-tail interaction . it is the purpose of this note to show that, aside from boundary-layer effects, this assumption is not warranted when the nose hypersonic-similarity parameter, tan, is of the order of unity, or greater . physically speaking, the entropy change associated with a strong bow wave reduces the stagnation pressure down-stream of the shock, and hence, lowers the dynamic pressure in the vicinity of the tail . ",cran
978,A Note on the Calculation of Probabilities in an F-Distribution ,cacm
2248,"On the Optimization of Performance of Time-Sharing Systems by Simulation A simulation model of a time-sharing system with a finite noncontiguous store and an infinite auxiliary store is used to study the variation of system parameters such as store size, number of jobs allowed to execute simultaneously, job-scheduling algorithm, etc. The effects of these variations on a measure of system performance is used to ascertain which of the parameters controllable by the job-scheduling algorithm, including the scheduling itself, require optimization, and which of the parameters not normally controllable by the scheduling algorithm have a marked effect on system performance. System performance is based upon the mean cost of delay to all jobs processed.  It is shown that significant improvements in the measure of system performance can be obtained by using variable time-slice techniques and by selecting the optimum round-robin cycle time. It appears that these features would benefit from optimization whereas other parameters controllable by the scheduling algorithm affect system performance in a predictable manner and would not benefit from optimization. Features not normally under the control of the scheduling algorithm can also have a marked effect on the measure of performance; in particular, supervisor overheads, the size of the store, and the speed of the CPU. A comparison is made between the results of the simulation model and two analytical equations for quantum-oriented nonpreemptive time-sharing systems. The comparison is found to be very favorable. ",cacm
3952,"Providing Access to Externally Available Bibliographic Data Bases  in an Academic Library   The ready availability of externally processed bibliographic data based has made it possible for an academic library to provide computerized searches on a large number of data bases with a very small initial investment and utilizing its own personnel.. The experience of the University of Pennsylvania Libraries has confirmed that such an approach is indeed feasible. This article discusses the approach, questions and problems encountered, and the factors considered in their resolution.. Also discussed are the role of the data services librarian, the cost incurred, and some observations as to the philosophy of the approach, with particular attention to the integration of the service into the reference department.. ",cisi
1894,The Basic Side of Tape Labeling ,cacm
5460,"on the coupling between heat and mass transfer . on the coupling between heat and mass transfer . in mixtures of two different gases or liquids, one constituent will migrate spontaneously toward the warmer parts, and the other toward the colder parts . this phenomenon, known as the soret effect, and its converse the dufour effect, were discovered as early as 1856 and 1873 respectively . the two effects can also be considered as a simultaneous transport of mass and heat, or as a coupling between heat and mass transfer . the effects of this coupling have been neglected in all investigations of heat transfer in multicomponent flow systems so far, on the a priori assumption that they are small . in a recent publication however, it was shown that they can be large in laminar-boundary-layer-type flows with helium injection . turbulent-boundary-layer measurements and an analysis conducted at the heat transfer laboratory clearly showed significant effects of the coupling on heat transfer and adiabatic wall temperature . from additional measurements, the results of which are presented below, it is possible to separate the heat flux at the model wall into one part depending on the temperature gradient and a second part caused by the coupling . it is shown that the latter exceeds the former, and hence the coupling may not be neglected a priori without careful consideration . ",cran
5865,"the supersonic flow about a blunt body of revolution for gases at chemical equilibrium . the supersonic flow about a blunt body of revolution for gases at chemical equilibrium .  the supersonic flow about a blunt body of revolution for gases at chemical equilibrium . a method to determine the shock wave, and its location, about a body of revolution moving at supersonic speeds is given . the method provides also the means to compute the flow characteristics in the shock layer . the fluid in which the motion takes place is assumed to be in chemical equilibrium within the shock layer ,. its thermochemical properties must be known . the essential new features of the method are .. a) it solves the direct problem, i. e., the initial data are the conditions upstream and the body shape ,. b) the integration of the fundamental equations is done in the physical plane and the difficulties inherent to other, less direct, mathematical formulations of the problem are avoided . a physical interpretation of the method is made which is in accord with the analytical definition of the problem . ",cran
1517,"High-Level Binding with Low-Level Linkers An easy to implement scheme is described by which a compiler can enforce agreement between complex data types in separately compiled modules.  The scheme is designed to work with any existing link editor or linking loader, no matter how deficient.  Obscure run-time errors caused by inconsistent usages are forestalled by static errors detected at linking time. ",cacm
2202,The Solution of Simultaneous Ordinary Differential Equations Using a General Purpose Digital Computer ,cacm
4777,"flow of gas through turbine lattices . flow of gas through turbine lattices .  paper is a translation of chap. 7 of the book /technical gas-dynamics/ (see amr 9, rev 1869) . the topics treated are best shown by the list of paragraph headings . they are .. 7-1 . geometrical and gasdynamical parameters of the lattices,. fundamentals of flow through lattices,. 7-2 . theoretical methods of investigation or plane potential flow of incompressible fluid through a lattice,. 7-3 . electro-hydrodynamic analogy,. 7-4 . forces acting on an airfoil in a lattice,. theorem of joukowsky for lattices,. 7-5 . fundamental characteristics of lattices,. 7-6 . friction losses in plane lattice at subsonic velocities,. 7-7 . edge losses in plane lattice at subsonic velocities,. 7-8 . several results of experimental investigations of plane lattices at small subsonic velocities,. 7-9 . flow of gas through lattice at large subsonic velocities,. critical mach number for lattice,. 7-10 . profile losses in lattices at large subsonic velocities,. 7-11 . flow of a gas through reaction lattices at supersonic pressure drops,. 7-12 . impulse lattices in supersonic flow,. 7-13 . losses in lattices at near sonic and supersonic velocities,. 7-14 . computation of angle of deflection of flow in overhang section of a reaction lattice at supersonic pressure drops,. 7-15 . characteristic features of three-dimensional flow in lattices . ",cran
2946," Recorded Magnetic Tape for Information Interchange (200 CPI, NRZI) (On the Revised Proposed American Standard) ",cacm
613,Merge Sort Algorithm (R426) ,cacm
1495,Exponentiation of Series (Algorithm 158) ,cacm
482,Incomplete Beta Ratio (Algorithm R179) ,cacm
2265,COBOL ,cacm
1271,Zersol (Algorithm 194) ,cacm
1765,"Garbage Collection for Virtual Memory Computer Systems In list processing there is typically a growing demand for space during program execution.  This paper examines the practical implications of this growth within a virtual memory computer system, proposes two new garbage collection techniques for virtual memory systems, and compares them with traditional methods by discussion and by simulation. ",cacm
6921,"filariasis in its relation to a a bo, mn, kell, duffy and rhesus blood groups and secretor factor. 603 filariasis patients have been studied for a a bo blood groups; 281 for duffy, kell and rhesus blood groups; 178 for secretor factor; and 503 for mn blood groups, to find out if there is any association between filariasis and these blood groups. no association, whatsoever, has been found between the blood groups studied and filariasis. ",med
1081,Protection in an Information Processing Utility One of the critical problems in the design of an information processing utility that permits flexible sharing of user information is privacy.  One solution for this problem is discussed. ,cacm
53,Logarithm of a Complex Number (Algorithm 243 [B3]) ,cacm
2860,Permute (Algorithm 86) ,cacm
1071,"Some Legal Implications of the Use of Computers in the Banking Business The introduction of computers in to the banking business has a wide variety of legal implications that merit careful attention at this very early stage.  The industry is highly regulated by government and, hence, is subject to many statutes and regulations.  It also is affected by important common law rules established by courts. The legal ramifications involve not only the mechanization itself, but also the very significant, economically attractive phenomenon of off premises processing. It is essential to identify and provide for many legal aspects right now, before systems and practices crystallize, in order to avoid the later impact of unanticipated physical complications and expense. The legal aspects of computerization in the banking business are especially diverse. In some states, there might be the basic question whether banks are authorized by law to invest in the new facilities, either directly or through cooperatives. More challenging are questions relating to off-premises processors, particularly with respect to the obligation not to disclose information concerning a bank's customers, the adequacy of fidelity bond coverage, the extent of liability for improper refusal to pay a check, and susceptibility to regulation by government agencies. Also pertinent is the propriety of data processing by banks for nonbank entities and particularly of the rendering of that service without charge for bank depositors. ",cacm
1758,"Growing Applications of Linear Programming Use of linear programming models has grown so extensively in recent years that the whole concept for organizing a computer code has undergone a radical change. It no longer is adequate merely to reduce a mathematical algorithm (i.e. the simplex method) to a computer code. An advanced code must cope with such a variety of situations that the respective computer subprograms must be organized into an integrated system. Emphasis in this paper is devoted to the underlying principles upon which future linear programming systems must be based. These viewpoints are influenced by the new demands that applications within the petroleum industry are placing on such systems. Some of the components of such a system are: translation of problem statement in terms of basic data to linear programming matrix coefficients, data transmission for direct computer entry, data file at the computer center, data processing and editing prior to solving the simplex algorithm, an efficient and reliable code for solving the above-mentioned algorithm, and flexible means for summarizing the results. ",cacm
5299,"effects of simulated rocket jet exhaust on stability and control of a research type airplane configuration at a mach number of 6. 86 . effects of simulated rocket jet exhaust on stability and control of a research type airplane configuration at a mach number of 6. 86 .  an investigation has been undertaken in the langley 11-inch hypersonic tunnel at a free-stream mach number of 6.86 to determine the jet-interference effects at high jet-static-pressure ratios on the stability and control of a research-type airplane configuration . compressed-air tests with a jet exhausting from the base of the fuselage were conducted over a reynolds number range of 0.57 x 10 to and over a jet-static- pressure-ratio range of 0 to 1460 . the results of these tests indicated that the operation of the jet induced a sizable separated-flow region over the vertical- and horizontal-tail surfaces which could be approximately duplicated at low angles of attack by use of metal jet-boundary simulators . the results of force tests, during which these metal jet-boundary simulators were used, indicated that this separated-flow region caused a large reduction in the longitudinal stability and control and a smaller reduction in the lateral and directional stability and control . by extending the divergent section of the nozzle and thus reducing the jet-static-pressure ratio, these losses were diminished . ",cran
2460,Muller's Method for Finding Roots of an Arbitrary Function (Algorithm 196) ,cacm
1104,Interpolation By Aitken (Algorithm 70) ,cacm
5376,"buckled states of circular plates . buckled states of circular plates .  authors discuss the thin elastic circular disk of constant thickness subjected to a constant compressive thrust applied at its edge . the analysis presented is based upon the nonlinear von karman equations of plate theory and is applied to disks with completely clamped and completely, simply supported edges . ",cran
3908,"The Nature of Scientific Communication and Influence   As the formal communication system of science has become less able to supply information with the rapidity that scientists require, increasing attention has been paid to the structure of communication in science.. How are scientific publications utilized by scientists? What is accomplished by the circulation of scientific information on an informal basis? How does the social organization among scientists facilitate or inhibit these processes?   Three types of studies have been conducted in this area: (a) studies of the scientific literature itself; (b) studies of how scientists obtain the information which they need for their research; and (c) studies of the relationship between scientists who conduct research in the same areas.. For the most part, studies of formal communication and information gathering have been conducted in the absence of all but the most rudimentary theoretical models, as has been pointed out in at least three recent reviews of these studies (Libbey and Zaltman, 1967, p. 64; Paisley, 1968; Storer, 1968, p. 12).. The lack of theory can be attributed partly to the practical orientation of many of the studies and also to the fact that an adequate model cannot be based on any one of these types of studies alone.. A useful theory must integrate knowledge from all three types.. In this article, we will review these studies and will describe a teoretical model which has been designed to fill this purpose.. ",cisi
865,ARCCOSIN (Algorithm 206) ,cacm
2895,"A Variation of the Goodman-Lance Method for the Solution of Two-Point Boundary Value Problems A recently published method for the interpolative solution of nonlinear equations is improved, and applied to give a significant variation of the Goodman-Lance method for the solution of two-point boundary value problems. The resulting method applies in particular to the numerical solution of optimal control problems in the Euler-Lagrange formulation. Quantitative estimates are presented which indicate that the variation is nearly twice as fast on some problems in the latter context. ",cacm
1565,"A Lattice Model of Secure Information Flow This paper investigates mechanisms that guarantee secure information flow in a computer system. These mechanisms are examined within a mathematical framework suitable for formulating the requirements of secure information flow among security classes. The central component of the model is a lattice structure derived from the security classes and justified by the semantics of information flow. The lattice properties permit concise formulations of the security requirements of different existing systems and facilitate the construction of mechanisms that enforce security.  The model provides a unifying view of all systems that restrict information flow, enables a classification of them according to security objectives, and suggests some new approaches. It also leads to the construction of automatic program certification mechanisms for verifying the secure flow of information through a program. ",cacm
1804,Romberg Integration (Algorithm 60) ,cacm
3943,The Prognostication of science Science is developing at a rapid pace. The modern scientific and technical revolution has as its outcome an unprecedented fact: the transformation of science in an ever growing manner and along the growing front of scientific disciplines into an immediately productive and social force of society. ,cisi
3303,"Experiments in Automatic Extracting and Indexing   This article reports on several experiments in automatic extracting and one experiment in automating indexing.. Nine chapters, each from a different technical book, were used as a text corpus for all the experiments.. In the first experiment, an attempt was made to construct a sentence dictionary of syntactic sentence types, for distinguishing extract-worthy sentences, but it proved unrewarding.. Nevertheless, the results indicated that sentence typing might be used in a screening process in conjunction with other extracting techniques.. The later attempts to combine synactic and statistical criteria in the choice of extract sentences and index phrases proved more rewarding.. The sentences selected by the extracting algorithm were representative and are presented for the reader to peruse.. The noun phrases selected by the indexing algorithm compared favorably with the back-of-the-book index phrases.. There is every indication that satisfactory back-of-the-book indexes could be produced automatically, with post-editing to delete superfluous items.. ",cisi
6094,"tumor scanning with radioactive cesium .                  fourteen patients with cancer were scanned 10 minutes to 48 hours   after injection of radioactive cs. and satisfactory scans of the tumors were obtained in seven . positive scans were obtained in large,     superficial tumors, in a pulmonary lymphoma, and in a carcinoma of the  upper third of the esophagus . the negative scans were all in abdominal tumors . correlations were made with data obtained from external     counting and by well scintillation counting of biopsy specimens . two  modes of uptake are suggested.. (a) early uptake due to vascularity and probably not proportional to stable cesium content.. and (b) a later   uptake based upon greater alkali metal content of tumors than of normal tissue .                                 ",med
