,text,class
11227,"Sooner Athletic Conference - Track and Field SAC official site. Past championship information, performance lists, and links. ",Track
9422,"Concordia College Women's Soccer Clippers. Pictures, roster of players, schedule, statistics, awards and history. ",Soccer
1992,Radcliffe-on-Trent Cricket Club Member of the South Notts Cricket League. ,Cricket
1387,"Alloa Bowling Club Information, history, fixtures, contacts, badges, and links. Located at Coningsby Place, Alloa, Clackmannanshire, Scotland. ",Bowling
8637,"Amsterdam Skeeler Provides information about events, tours, and news for inline speedskaters in the greater Amsterdam area. Also hosts a Dutch speedskating mailing list. ",Skating
92,"Crusaders Baseball Official site includes news, schedule, rosters, and statistics. ",Baseball
3912,"University of Wisconsin Eau Claire Open team. Practice details, directions, pictures, a messageboard and contacts. ",Flying
2439,"Melbourne Premier Cycling Club Located in the western suburbs of Melbourne, this club caters for racing cyclists of all levels. Ride and tour information, membership, photo gallery and gear. ",Cycling
10868,"The Citadel Men's Tennis Bulldogs. Press releases, rosters, game schedule, history, statistics and records. ",Tennis
7979,"Todd Hugo - All Americans Paintball Team Pro paintball player from Minnesota, USA. Includes schedule and photographs. ",Paintball
6625,"Len Brassard's Family Martial Arts Center Instruction in Ed Parker's American Kenpo. Includes lineage, events, promotions, and contact information. ",Martial
1359,"World Candlepin Bowlers Congress Conducts professional candlepin tournaments, and includes results, upcoming events and players' biographies. ",Bowling
3907,"Arctic Vogue Cincinnati, Ohio USA. Pictures, results, game schedule, registration, contacts and lodging. ",Flying
6692,"Aikido Connection General information on Aikido styles, links, history and organizations. ",Martial
5143,"The Sport of Gymnastics News and discussion, with competition results and information for parents, coaches and athletes. ",Gymnastics
8857,"Lava City Roller Dolls All-female, amateur, flat-track roller derby league in Bend, OR. ",Skating
6527,"Grand River Aikido Yoshinkan style offered in Guelph to adults and children. Includes class schedule, instructors' biographies, club photos and related links. ",Martial
8104,"Port City Pacers A road running club founded in 1979 to educate the residents of Mobile, Alabama about the benefits of running. Hosts of the annual Azalea Trail Run 10 km road race. ",Running
7383,Inside Racing A Philippine-based motorcycle and scooter magazine. ,Motorsports
9962,"University of Central Arkansas Women's Softball League schedule, game results, and team roster provided. ",Softball
8508,"Starlight Team Suisse Synchronized skating teams representing Figure Skating Club Zurich-Oerlikon of Zurich, Switzerland. Includes competitions and events, photos, and event reports. ",Skating
4769,"McKendree University Women's Golf Bearcats - official site. News, schedule, roster, coaching staff, story archive. ",Golf
11166,"MarlaRunyan.com Runyan's official site features general information, a description of her vision problems, news, and links to other sites. ",Track
8401,"Pewamo St. Joe's Annual 5k Race Past results, pictures, registration form, course map and related links. ",Running
4692,"Silver Lakes Golf and Country Club An 18 hole championship course located north of Holland Landing. Provides hole-by-hole descriptions, rate card, map, and description of the clubhouse and Aqua Range. ",Golf
3266,Middle Tennessee State University Fencing Club Information on club practice times; located in Murfreesboro. ,Fencing
10276,"Pacific Weightlifting Association News, clubs, athletes, schedules, and results. ",Strength
5836,The History of North American Hockey Leagues A look back at some of the more interesting hockey leagues that have led to today's modern game. ,Hockey
6829,"Kyoshin Aikido Dojo Based in West St. Paul. Includes class schedule, instructors' biographies, news of forthcoming events and related links. ",Martial
3582,"West Virginia Disc Golf Association Membership information, tournament schedules, upcoming events, and photo gallery. ",Flying
1159,"Pinz Located in Studio City. Offers hours, rates, directions and rock 'n bowl. ",Bowling
4571,"Andalucia Golf Guide A Golf Guide to the Costa del Sol, southern Spain. ",Golf
1572,"Singh, Harbhajan Player profile, news, records and photos. ",Cricket
1124,"Aspley 10 Pin Bowl A 20 lane centre, air conditioned and non smoking. Features information on leagues, services and latest news. Aspley, Qld. ",Bowling
10878,"Oklahoma Christian University Tennis Eagles. Contains team photographs, player listings, scores, game schedules, and statistics. ",Tennis
10324,"Lurie, Dan Trainer of Champions. Historical website includes a photo essay. ",Strength
13364,"Dilworth Grizzlies Wrestling Club - NZ Provides practice and event schedules, information about club personnel, activities and results. Auckland, New Zealand ",Wrestling
488,Yahoo! Groups: thegreatbillmueller Message board and chat room. ,Baseball
4021,MVN Cardinals Report Team weblog from a sympathetic writer. ,Football
4519,"Sandpipers' Golf Society Dedicated to the exploits of The Sandpipers; lovers of bunkers around Great Britain and Ireland. Includes photographs, trip information, a calendar, and message board. ",Golf
299,"Saint Louis Perfectos Base Ball Club Photos, schedule, roster, essay by ""Scribe"" Slover, statistics and results. ",Baseball
2300,Tubb Krew Mountain Biking North Shore mountain bikers from Vancouver area. ,Cycling
180,Tulsa World Coverage of the Tulsa Drillers. ,Baseball
4144,"Brandon Bears Team information, scores, schedules, and pictures. ",Football
5703,"Wikipedia: David Aebischer NHL goal tender, includes career information, statistics, awards, photograph, and biography. ",Hockey
11411,"Pole Vault Power Information on meets, camps and clubs that include pole vaulting plus a message board. ",Track
13161,United States Wrestling Officials Association USA Wrestling's freestyle and Greco-Roman officials organization. Features the rules governing the international styles of wrestling. ,Wrestling
9696,"Alvernia College Women's Softball Crusaders. Press releases, game schedule and results, roster, coaching staff and statistics. ",Softball
9420,"Foxes Trust A democratically, and not-for-profit, organised body of Leicester City supporters who work in the best interest of the fans ",Soccer
2591,"Cedar Knoll Quarter Horses Includes sales list, photos, and profiles of horses. Located in Springfield. ",Equestrian
2599,"Lawrence Arabians Stands chestnut and gray stallions at stud. Includes sales list, photos, and profiles of horses. Located in North Otago, South Island. ",Equestrian
9920,UK Baseball Softball The official web site for British Baseball and Softball featuring all the latest news from within the UK. ,Softball
3211,"British Fencing - North West Region Lists clubs, competitions and results for the region. ",Fencing
26,"ESPN.com: Mike Hampton Player profile, career statistics and scouting report. ",Baseball
3384,"Columbus Ohio Division Information regarding fencing tournaments and clubs in the Columbus, Ohio area. ",Fencing
6546,Denham Springs ATA Martial Arts Denham Springs ATA Martial Arts offers classes in Taekwondo. This is also an informational site for members of the American Taekwondo Alliance. ,Martial
9302,Northwood University (Florida) Men's Soccer Seahawks - official site. ,Soccer
4226,"San Diego Lions Australian Rules Football Club Official site including news, notices and photographs as well as match reports. Members of the San Diego Metro Footy League. ",Football
11065,"Steve Prefontaine's House Fan site and personal page featuring pictures of and quotations, as well as a chat room. ",Track
1987,HowSTAT Includes milestones and recent records besides access to statistics and graphs. ,Cricket
12040,"University of Massachusetts-Dartmouth Men's Swimming Corsairs. Team picture, roster, coaching staff, contacts and news stories. ",Water
13268,"Forever Shawn Includes pictures, wallpaper, animated gifs, theme music, videos, message boards, article and interview archives. ",Wrestling
7508,"Iron Lions For players in London and surrounding areas. Includes members list, events, message forums, sponsors, and adventure holiday information. ",Paintball
5124,"University of Birmingham Gymnastics and Trampolining Club The club is one of the most successful clubs at The University of Birmingham. With over 80 members, the club was recently awarded Sports Club of The Year 2001. ",Gymnastics
5613,"Blackhawk Standbys The official fan club of the Chicago Blackhawks since 1944. Information about road trips, fun outings, charity events, and other team support. ",Hockey
7545,"Shadow Team based in the Miami area provides roster with pictures, related links, and a guestbook. ",Paintball
1510,Pakistan Cricket Includes pictures and profiles of players. ,Cricket
3837,"Dallas, Texas USA Registration, merchandise, game schedule and results, teams listing, field location and directions. ",Flying
10349,"Fitness Explosion Fitness training, bodybuilding, aerobics, biking, yoga, nutrition, and supplements. ",Strength
3983,"Texas A&amp;M Practice information, alumni, pictures, related links and upcoming events. ",Flying
8217,"Western Mass Athletic Club Trail running club in western Massachusetts. In addition to club news, includes information for several trail and snowshoe races as well as the Grand Tree Trail Race Series. ",Running
10549,"Sania Mirza: India's Pride Weblog includes the latest news, photos and interviews with the tennis star. Comments welcomed. ",Tennis
1642,The Corridor of Uncertainty Weblog about the world of cricket. ,Cricket
9843,"East Tennessee State University Official site with news, schedule, statistics and roster for Lady Buc softball. ",Softball
6760,"American Jiu-Jitsu at MIT Student organization at the Massachusetts Institute of Technology featuring class times, links, photo gallery and Jiu-Jitsu background information. ",Martial
7238,"Overlanders 4x4 Club Includes information on rules, race results, photos, classifieds and links. ",Motorsports
2670,"American Association for Horsemanship Safety Information and articles, law cases and statutes for horsemen. ",Equestrian
7658,"WinkeyDoodles Paintball Adventures Located outside El Paso, in Canutillo Texas. Three fields along with grills and covered staging area. ",Paintball
3563,Genacles Pickup Ultimate Pickup game listings and message board for the San Mateo and San Carlos area. ,Flying
7043,PACE Supercross Latest updates on PACE supercross races. ,Motorsports
12360,Kracka Racing Surfcraft Surf life saving surfcraft manufacturers. Australia. ,Water
2869,"MIT Equestrian Team Massachusetts Institute of Technology Equestrian Team information, FAQ, schedule of events, directions to stable and shows, lessons, photo album, and equestrian articles archives. ",Equestrian
7810,High Plains Paintball Seven fields located east of Denver. ,Paintball
7725,Black Tactical Website devoted to helping people with milsim paintball. ,Paintball
9614,"The Usual Suspects From Dublin, Ireland. Includes statistics, roster, and photos. ",Softball
1176,"Young Bowling &amp; Trophy Supply Offers bowling centers many supplies such bowling balls, shoes, accessories, trophies, and medals. ",Bowling
5268,"Santa Rosa Gymnastics Center Gymnastics and cheerleading lessons for all ages, and girls competitive team. Facility information, classes, fees and links. Located in Santa Rosa, CA. ",Gymnastics
2060,Ophir-Milan A Sacramento Women's Cycling Club. Abilities range from casual weekend rider to serious racers that compete in and around Sacramento. ,Cycling
12197,"Sunny Cove Sea Kayaking Company Alaska sea kayak and day kayak trips. Tours of Kenai Fjords National Park, Resurrection Bay and Seward. ",Water
2557,"Jupiter Horse Farms Stands bay stallion at stud. Includes photos and profiles of horses. Located in Alberta, Canada. ",Equestrian
4964,Leinster Hackers Golf Society Based in the Dublin and Leinster regions of Ireland. Includes details and photos of events. ,Golf
765,Playmakers Basketball Individual instruction workouts from NCAA programs turned into a camp format. ,Basketball
7412,Krew Motorsports Karting image gallery. ,Motorsports
10465,Ian Smalley American powerlifting 2010 deadlift champion. ,Strength
3668,"Airwolf Wolverhampton University's club. Site contains news, results, player profiles and photos. ",Flying
7497,"DragsterWorld Offers message boards, news reports and photos. Located in the UK. ",Motorsports
4866,"Myrtle Beach Golf Trips Offers vacation packages and on-line tee times to courses in Myrtle Beach, South Carolina. Includes details of courses, hotels, packages and prices. ",Golf
1610,"Stradbroke Cricket Club Includes news, fixtures, results, location and contact details for the club based in Suffolk. ",Cricket
12187,"Brussels Underwater Hockey Pictures, video, tournament results, and information about the team. ",Water
10141,"Muscle and Fitness Online A source for exercise, health and nutrition advice, with information on building muscle mass, weightlifting and sports nutrition. ",Strength
11168,"Hamilton College - Women's Indoor Track and Field Continental women's indoor official site. Outlook, schedule, results, coaching staff, roster, and links. ",Track
11301,"Columbia University - Track and Field Lions official site. News, roster, schedule, results, coaching staff, and past season information. ",Track
3163,"Swordplay Fencing Studio Tim Weske's Swordplay, located in Burbank, California, provides training in Olympic-style fencing as well as theatrical combat for film and television. ",Fencing
10551,"Illinois Wesleyan University Women's Tennis Titans. Team photograph, scores, game schedule, statistics, roster and recruiting. ",Tennis
1254,"White Sands Bowling Center A family oriented, 32 lane bowling center located in Fort Walton Beach, FL. ",Bowling
12432,Bob's Canoe Rental Offers rentals and guided trips on the Nissequogue River. Also offering fishing and sightseeing cruises in Long Island Sound. Includes trip summaries and contact information. ,Water
2123,"John Henry the Bicycle Man North Vancouver-based retailer offering road, mountain, and BMX clothing, accessories, and bikes. ",Cycling
12845,"Sugarbush Resort Warren resort offering 111 trails and 16 lifts serving 2,600 vertical feet. Trail maps and mountain statistics, local lodging options, photo gallery and employment information. ",Winter
244,Paris Junior College Baseball Official site of the Dragons. ,Baseball
4098,"Seahawks WebRing Fans Services, news links, webring, and newsletter. ",Football
5300,Metropolitan Gymnastics Recreational and competitive classes for all ages and skill levels for girls and boys. Located in Kent. ,Gymnastics
2981,"Appaloosa2 An email group to discuss all aspects of the Appaloosa horse breed; showing, breeding, training, personal stories and networking of enthusiasts and professionals. Information on how to join. Message archives available for members. ",Equestrian
8127,"Sandstone Trail race 9.5 and 16.5 mile trail races taking place early October along the sandstone trail in Cheshire, United Kingdom. Include race history, photos, and entry information. ",Running
8824,"Tampa Bay Derby Darlins All-female , amateur, roller derby league in Tampa Bay, FL. ",Skating
5111,"Illinois State University Women's Gymnastics NCAA Division I, Region 3. Redbirds schedule/results, roster, recruits. ",Gymnastics
12897,Potomac Valley Skiers Metropolitan Washington DC area ski club. Site provides information about the club and its activities. Also features a photo gallery and member only information. ,Winter
6925,"Modern Martial Arts Instruction in several styles in Manalapan, New Jersey. Contains style descriptions, news, and membership information. ",Martial
11440,"USATF Montana Event results for track and field, fun runs, cross country, race walking, USATF, and the Junior Olympics. Message boards, contact information, and awards information. ",Track
12050,"Bradford Grammar School Boat Club News, training information, results, contact details and general information about the club and sport. ",Water
9848,"East Texas Wild Things Girls Fastpitch Fastpitch Softball Team from Kilgore, Texas. ",Softball
1674,"Cork Harlequins Club Cricket, hockey, and table tennis club. News, fixtures and results, photo gallery, and information about the kids season. ",Cricket
7675,"Flagswipe Paintball ltd Ontario. Information about indoor and outdoor fields, and forum, store, news, and faqs. ",Paintball
3264,"Classical Fencing Society at S.L.U. - Salle d'Armes Class information, online manuals, fencing books and a FAQ. ",Fencing
7337,"Black Dog Racing Darren Curtis is the Pure Stock Owner/Driver based in Richland, Washington. ",Motorsports
8643,"Castres Sports Glace Offers an ice dancing and figure skating school, training times, calendar, and photos. ",Skating
11704,"William Patterson University of New Jersey Women's Volleyball Pioneers. Pictures, scores, schedule of games, statistics and a roster. ",Volleyball
7286,"Expedition Trophy Annual 16,000 km cross-country road race across Russia from Murmansk to Vladivostok, held in late February and early March. Includes live webcasts, weblog, Cultural Navigation control points, official song and online shop. [English, Russian] ",Motorsports
8986,"Washington Area Rollerskaters WAR is the largest inline skating club in the Washington, DC area. Site contains event listings and membership information. ",Skating
10771,"Oral Roberts University Men's Tennis Golden Eagles. Articles, statistics, roster, pictures, coach's profile and past results. ",Tennis
6888,"US Martial Arts Academy Taught by Master C.J Park, former Tae Kwon Do world champion. [Falls Church] ",Martial
12840,"Ski Butternut Located in the Berkshire Mountains. Features snow condition report, trail map, daily photo, ski school information and lodging options. ",Winter
12826,"Team Thirteen Digital Ski Magazine Pro skier interviews, skiing pictures and videos, and skiing articles. ",Winter
5975,Minor League Hockey Webring Sites devoted to minor league hockey teams and players. ,Hockey
5382,Scottsdale Gymnastics and Cheerleading Recreational and competitive gymnastics programs. Gymnastics and cheerleading information. Located in Scottsdale. ,Gymnastics
1272,"Meadow Lanes Family Recreation Center Includes hours, party information, league details, catering information, and coupons ",Bowling
6697,World Chang Moo Kwan Includes organization information. ,Martial
1467,"Bowlwest.net Information about three Indiana bowling centers (Brownsburg Bowl, Sunset Lanes, Country Lanes) including their facilities, house leagues, and open bowling. ",Bowling
4482,"Randolph Oilers Includes photos, schedule, and guestbook. ",Football
96,"Nolan Ryan Express Biographical information, news, letters, quotes, collectibles, statistics, and chat. ",Baseball
7396,East Coast Corvette Challenge Drivers of all experience levels and cars of all years models are welcome in this series of events. Bracket Racing ET series held in New Jersey. Information on how to register and rules listed. ,Motorsports
5044,"Neil's Gymnasts Photo Gallery Photo galleries of female gymnasts including Khorkina, Amanar, Raducan, Olaru, and Zamolodchikova. ",Gymnastics
5140,"Douglas Gymnastics Club Catering to boys and girls of all ages and ability. Features club summary, news, photos, movies, and animations. Based in Cork. ",Gymnastics
11510,Wisconsin Club Volleyball Message Board For topical discussion of highlights and important events related to Wisconsin Club Volleyball. ,Volleyball
8697,SynchroBoards.com A public discussion board with fora in various categories. ,Skating
6043,"RIT Men's Lacrosse Tigers. Includes schedule with results, roster, statistics, news and information on coaches. ",Lacrosse
403,"CBS Sportsline Includes news, notes, injury details, transactions, roster, schedule, photographs and minor league prospects. ",Baseball
10660,"Converse College Women's Tennis All Stars. Schedule, roster, coaching staff, and results. Independent of any conference affiliation. ",Tennis
6655,"U.S.A Wu Chi Kung Fu Academy Teaches Kung Fu, Tai Chi, San Shou and Qigong. Located in Fremont, California. ",Martial
10591,"Maleeva, Katarina Fan page with information, tournament results, biography, and pictures. ",Tennis
8468,"Pudsey Pacers West Yorkshire club which started as just a group of people who shared an interest in running, and never uses the word 'slow'. Includes news, location, and photos. ",Running
6861,"Danzan-Ryu Jujutsu Lists introduction to style and history, Mokuroku (curriculum), people, pictures, dictionary, instructor's notebook, dojos and organizations. Also includes events, forum, discussion board, bookstore, products and links. ",Martial
9661,"Saginaw Valley State University Women's Softball Cardinals. Provides press releases, a player listing, scores, statistics, and coaching staff. ",Softball
10115,"SuperiorMuscle.com Provides nutrition, training, supplements, anabolic discussions. Also offers member photos. ",Strength
9284,Aston Villa News News feeds from various sources 24 hours a day. ,Soccer
2784,"Drive Ontario! A cooperation of driving clubs and associations in Ontario, Canada. ",Equestrian
13238,University of Maryland at College Park NCAA Division wrestling from the Atlantic Coast Conference. ,Wrestling
6219,"Limestone Men's Lacrosse Saints. Includes schedule with results, roster, photos, history and information on coaches. ",Lacrosse
243,"Fairleigh-Dickinson University Devils Official baseball site with news, schedule, roster and statistics. ",Baseball
6902,"New Wave Taekwondo New Wave Taekwon Do is a new and exciting martial arts club run by Mr Mark Bishop 2nd Degree which covers Cornwall with clubs in Liskeard, Bodmin, Callington and Torpoint. It provides instruction on the Korean martial art. ",Martial
11666,"South Bay AVPNext Amateur and ""semi-professional"" sanctioned beach and grass volleyball tournaments held in Santa Ana, California. General information, starting times, locations, team signup, available players and fees. ",Volleyball
6240,"Limestone Women's Lacrosse Saints. Includes schedule, results, roster, news, player profiles and information on coaches. ",Lacrosse
7350,"Jeff Gordon Garage Pictures, wallpaper, news, downloads and links. ",Motorsports
875,"Ottawa University Women's Basketball Braves - official web site with news, schedule, roster, statistics. ",Basketball
11662,"University of La Verne Women's Volleyball Leopards. Contains news items, awards, records, statistics, and a schedule of upcoming games. ",Volleyball
2376,"Velo Club Roubaix VCR is one of the top cycling clubs in the Chicago area. The club has been riding and racing around Illinois since 1981. Club information, rides, schedules, routes, and contacts. ",Cycling
11052,"Black Hills State University - Men's Track and Field Yellow Jackets official site. News, roster, schedule, results, pictures, national qualifiers, recruiting questionnaire, and school records. ",Track
234,"Winnipeg Goldeyes Official website of the Winnipeg, Manitoba Goldeyes minor league baseball team. ",Baseball
10006,"Park, Steph Home of Canadian natural bodybuilder and fitness model. Includes news, biography and galleries. ",Strength
8481,"Coolest Race in Michigan Located in Flint with searchable results, registration, events listing and contacts. ",Running
9832,"California University of Pennsylvania Women's Softball Vulcans. Includes a team photograph, roster, scores, a schedule of upcoming games, and news items. ",Softball
4878,"University of Texas-Pan American Men's Golf Broncos - official web site with news, schedule, roster, statistics and history. ",Golf
152,"Iowa Intercollegiate Athletic Conference Official site containing a schedule of games, current standings, championship details, and press releases. ",Baseball
13062,National Wrestling Superstars The largest indy pro wrestling organization on the East coast. ,Wrestling
1816,Cricket on Ice The only cricket tournament in the world played on a frozen lake. ,Cricket
8366,"Striders of Croydon Positively welcome runners with little or no experience, or those hardened runners who may have just moved into the area. ",Running
9493,"FC Revolution News, club information, camps, training and staff. ",Soccer
6171,"Conard Chieftans Related links, membership details, contact information and player roster. ",Lacrosse
11605,"Butler County Community College Coaching staff profiles, schedule, roster, scores and statistics; located in El Dorado, Kansas. ",Volleyball
6309,"Marin Lacrosse Roster, highlights, and tournament information for the northern California lacrosse club. ",Lacrosse
8787,"University of Michigan Synchronized Skating Includes team profiles, schedule, photos, and history. ",Skating
12903,"Midland Ski Club, UK Non-commercial ski club in England. Holidays, social, coaching, and race training. ",Winter
4616,"Harris Miniature Golf Designers and builders of miniature golf courses with a full range of features and layouts. Picture gallery, free promotional video or CD-ROM, and marketing guide. ",Golf
4157,"Emerald Rugby Caters for all aspects of Irish rugby including Ulster, Munster, Leinster, Connacht, and grass roots rugby. ",Football
11461,"University of Nevada Track and Field Wolf Pack official site. Roster, schedule, and news. ",Track
11629,"Iowa State Team roster, related links, schedule, contacts, pictures and alumni profiles. ",Volleyball
8676,"BGSU: Bowling Green State University Synchronized Skating Team: The Falconettes Team roster, coach profiles, news, event schedule, history, photo album, competitive results, and team honors for the Falconettes. ",Skating
10100,"MMI Power Training Provides in depth discussions about weight training and techniques, as well as a training video section. ",Strength
4824,"Golf Outing Television Offers a custom television show service for individual golf outings or events and gives product, pricing and company details. ",Golf
376,"Chicago Sports Showcases news stories, statistics, roster, fan feedback and past-player tracking. ",Baseball
3886,"Old City Park Contains directions, map, and course information. Located in Moab, Utah. ",Flying
12583,"Frankfort Ski Club Includes trip schedule, newsletters, racing, pictures, and a membership application. ",Winter
10905,"Ariel Mini Tennis Lawn Tennis Association programme to introduce 4-10 year olds to the game of tennis. Offers details on local venues, news, games and information for parents, teachers and coaches in England, Scotland and Wales. ",Tennis
8232,"Fairleigh Dickinson University Cross Country News items, training facilities, roster, event listing and past results. ",Running
5412,"George Washington University Women's Gymnastics Official site of the Colonials with a team picture, roster, news items, seasonal outlook, coaching staff and a description of training facilities. ",Gymnastics
11922,"Franklin College Coaching contacts, team roster, schedule and results for this Indiana university. ",Volleyball
12283,"Mount Union College Men's Swimming and Diving Purple Raiders. Includes a listing of members, statistics, a season summary, and a competition schedule. ",Water
8613,"Roll Arena Roller skating rink in Anderson, Indiana. Includes session schedule, birthday party information, and a list of upcoming events. ",Skating
9148,"Sky Sports Planet Football: Sheffield United News, fixtures, results, tables, match reports, squad list, and OPTA statistics. ",Soccer
313,"CBS Sportsline Showcases news, notes, injury details, transactions, roster, schedule, photographs and minor league prospects. ",Baseball
907,"CNN/SI: America East Conference Women's basketball headlines, schedule, standings, and scores. ",Basketball
2435,Cycle across America Two women traveling by themselves across the U.S. on bicycles and camping along the way. ,Cycling
10640,"Eastern Mennonite University - Women's Tennis Royals. Listing of players, photographs, scores, game schedule, statistics and records. ",Tennis
1606,"BBC Sport - Cricket: Zimbabwe Offers the latest scorecard and results plus fixtures, squad members and message board for fans. ",Cricket
8988,Pegasus Flyers Inline Skate Club - Dallas TX Not-for-profit organization established to promote inline skating in the Dallas/Fort Worth area. ,Skating
689,Wichita State Men's Basketball The Shockers' official site. ,Basketball
11004,Dunfermline and West Fife Athletics Club Track and Field and Highland Games athletic. The club have a number of medal winning runners and potential Commonwealth games athletes. ,Track
1145,"Royal Victorian Bowls Assoc. and Victorian Ladies Bowls Assoc. Organisations administering lawn bowls for men and women in the state of Victoria. Each has upcoming events, past results, and club news from the state. ",Bowling
12367,"Aqua-Jets Aquatic Club, Kingsport TN USS Club in the Southeastern Swimming LSC in Kingsport TN. Includes Contacts, Information, Fees, Forms, Master's, Meets, Winter League, Summer League. ",Water
6830,"JKD Berlin A school located in Berlin, Germany. Teaches combat in all ranges using the concepts and principles of JKD. [Berlin, Germany] ",Martial
9891,"Philadelphia University Women's Softball Rams. Scores, team history, game schedule, season summary and photographs. ",Softball
7619,"Team SAD Tournament team offers players profile, pictures, links and jokes. ",Paintball
2418,"Northampton Cycling Club Membership organization provides news, photos and information on club rides and membership. ",Cycling
4397,Fans of Canadian Football Supplying pictures of Grey Cup trips and fans. Also providing polls and other CFL information. ,Football
9899,"Iona College Official site with schedule, roster, news, and statistics for Gael softball. ",Softball
11543,"Ratcamp Beach Volleyball Beach volleyball camps for high school age players in Orange County, CA ",Volleyball
1676,"Twenty 20 Cricket Leagues Features match wise scorecards, television ads and promotional videos. ",Cricket
4270,Brian Urlacher Fan Club Dedicated to the football skill of Brian Urlacher. ,Football
383,Denver Baseball Observer Comprehensive game coverage as well as archival material and commentary. ,Baseball
9929,"Biola University Softball The official site of the Eagles with news, roster, schedule and statistics. ",Softball
10036,"International Weightlifting Federation News, championships, rankings list, statistics, records, results, events, publications, and videos. ",Strength
6399,"Ursinus Women's Lacrosse Bears. Includes schedule with results, roster and history with information on coaches. ",Lacrosse
11436,"Jefferson High School Boys Track and Field Home of the Jefferson Hawks High School Boys Track team. Includes a roster, schedule, meet results, and records. ",Track
2565,"Golden Hills Quarter Horse Stud Standing at stud palomino stallion, Doc's Golden Pride. Pedigrees, photographs, and stock for sale. Located at Nelson. ",Equestrian
8933,"28k Crew Biographies, multimedia, message boards, and skate reviews. ",Skating
1229,"Mid Surrey Lawn Bowls Club An outdoor club situated in Old Deer Park, Richmond, Surrey, England. Profile, members, location, fixtures, tours, and contacts. ",Bowling
8983,"Phoenix Synchronized Skating Representing the Onyx-Suburban Skating Academy, based in Rochester, Michigan. Includes coaches, auditions, gallery, calendar, and contact information. ",Skating
