,text,class
5004,"Maple Systems Internet Services Web design, hosting, domain registration, and e-commerce development. Located in Coventry, England. ",Internet
9074,PerversionTracker Reviews and listings of useless Mac OS X software. ,Systems
4378,"ABC Graphics Large collection of archived web graphics of buttons, bars, bullets and banners. ",Graphics
2327,"Stover Data Systems Data management and acquisition. Database programming, custom software development, computer skills training, web design and virtual hosting. Located in Farmington. ",Consultants
6084,"Transkriber Software that plays music at down 1/26th speed, without changing the pitch. [Mac/Windows] ",Multimedia
4305,Flay.Com News and resources for the 3D modeling and animation community. ,Graphics
1024,Oracle OpenWorld Oracle's international technology conference. ,Companies
8447,QualitySSL A Denmark based provider of 128 bit certificates and identity assurance products. ,Security
2549,Simple Simon SpitFire telemarketing autodialer with database interfaces. ,Data
9394,Allexperts Mac Q&amp;A Volunteer experts answer Mac-related questions. ,Systems
7686,"MEKAnize Robots, Inc. Manufacturer of SCARA-style robots, custom-engineered robots, and robotic systems for laboratory, electronics, semiconductor, and industrial applications. Located in Colorado Springs, Colorado, United States. ",Robotics
2687,Eazy HTML A beginner's tutorial into the basic structures of HTML from a single page to a multiple page site. Covers HTML 4.0 and some basic steps towards XHTML 1.0. ,Data
1257,"PC Help Live.com Provides quality PC support, visual tutorials and excellent one on one support via web forums. ",Companies
3323,PostScript Manual David Maxwell's introduction to programming in PostScript. ,Data
285,"PAULA The home of a downloadable, teachable chatbot. ",Artificial
4618,"Business Systems Connection Inc. Sales of wireless, data, components and audio/visual equipment. ",Hardware
1884,"Workshop on Inconsistency in Data and Knowledge Part of IJCAI'01. Seattle, USA; 6 August 2001. ",Computer
3776,"Parsec Group Open enrollment, customized and on-site training. Located in Colorado, United States. ",Education
8026,"Recent Advances in Intrusion Detection Symposium 2004 International Symposium on Recent Advances in Intrusion Detection. Held in conjunction with ESORICS 2004, September 15-17, 2004. The RAID International Symposium series is intended to advance the field of intrusion detection by promoting the exchange of ideas on a broad range of topics, bringing together leading experts from academia, government, and industry to discuss state-of-the-art intrusion detection technologies and issues from research and commercial perspectives. ",Security
7586,"Barlas, Omar A hobby robot that can pick up and move small objects. ",Robotics
8720,"GURU NETworks, Inc. Web based transaction management software for the residential real estate industry. ",Software
2278,"Minster Systems Database design and development using Microsoft Access and Visual Basic. Offers an overview of the company and services provided, as well as links to related resources. Based in Peterborough, United Kingdom. ",Consultants
6974,"Dooble A web browser featuring an integrated distributed search engine, a secure messenger and an e-mail client. ",Open
4290,Supercool Virtual Pets Downloadable animated virtual computer pets and eggs plus hatchlings for webpage. ,Graphics
3574,Ascolta Training Company Instructor-led and online internetworking training by a Certified Learning Solutions Partner with Cisco. Locations in the United States. ,Education
3535,LiveFire Labs Offers online UNIX and Linux training with hands-on lab exercises on real servers in the company's Internet Lab. Sample course available. ,Education
6101,"Quod Libet Audio player based on GTK+ written in Python, lets users make playlists with regular expressions and provides advanced tag editing features. ",Multimedia
3737,TCPmag: Surveys and Reviews Provides information such as salary surveys and exam reviews on Cisco products and Cisco certification programs. ,Education
5571,Magic Wallpaper Provides a mobile phone wallpaper creation tool. ,Mobile
9282,"Palm Pilot Tutorial - Getting Started Raymond Bowers originally put this together to help coworkers who had just gotten PalmPilots and did not have hours of spare time to go out and learn all about the different standard applications on their own. After getting calls from people even outside of the office, the notes were made available to the web. ",Systems
4282,FontGod Creators of custom handwriting fonts based on a customers handwriting style. Truetype fonts for PC or Mac. ,Graphics
7551,OOPic in robotics An index of OOPic powered robots on the web. ,Robotics
1886,MoneyBee Generates stock forecasts by application of artificial intelligence with the aid of artificial neural networks. ,Computer
9150,"TapirMail Remote inbox email client supporting POP3, SMTP, and Blowfish. ",Systems
4186,"StockXchng Collection of free stock images, collected and uploaded by the users. ",Graphics
8999,"Business Intelligence Technologies, Inc. BIXL delivers data from Microsoft's SQL Server Analysis Server component, as well as other OLE DB for OLAP compliant cubes, right into Excel. ",Software
3151,"Asce Networks,Inc. Provides e-business infrastructures. Headquarters in Gaithersburg, MD. ",Data
3631,PC Tutor Individual and small group customized training. Located in the United Kingdom. ,Education
7908,"UWE Intelligent Autonomous Systems Lab Researches ways in which autonomous robots - large and small; walking, climbing and flying - can be developed to 'do the right thing at the right time'. ",Robotics
8931,"MP3CDSoftware.com Offers easy-to-use MP3 and CD software including MP3 WAV converter, CD ripper, CD burning software. ",Software
6654,"WxChecksums Calculates and verifies checksums. (C++) [Windows, GNU/Linux] ",Open
5359,"Conquent Offers site design. Located in Portland, Oregon. ",Internet
7627,"Joker Robotics Developer, manufacturer, and distributor of mobile robot kits and components for research and educational use. Based in Stuttgart, Germany. ",Robotics
382,AI Buddy Personal chat bots for use with AOL Instant Messenger. ,Artificial
6925,"UNESCO Free Software Portal A central directory of Open Source software, designed for a worldwide audience. Includes the latest industry news. ",Open
8635,"I18n Guy Provides information on localization, internationalization and Unicode. Includes articles and related links. ",Software
2825,Industrial Network Products Manufactures highly reliable ruggedized ethernet switch products. ,Data
3912,CCIE Study Labs Blog discusses topics of interest to CCIE candidates. ,Education
4607,"How to Make a Network Cable A step-by-step walkthrough on how to properly make and crimp your own networking cable, including an instructional video of the process. ",Hardware
4725,"Network by FourPair Weblog about wiring phone, television, security, and computer networks. ",Hardware
7296,IBM BookManager BookServer Library All IBM Rexx manuals and redbooks. ,Programming
2758,"Evermap Provide AutoSplit plug-in for Adobe Acrobat, used for document splitting and page extraction. Includes news, downloads, support pages, and company profile. ",Data
4455,Good Textures Free texture library containing high quality textures for private and commercial use. ,Graphics
3596,The Certification Hub Offers practice test questions with detailed answers for Comptia and Microsoft certifications. ,Education
5583,Quios Text messaging and news delivery to mobile devices. ,Mobile
193,"Learning Relational Concepts from Sensor Data of a Mobile Robot A set of data sets, where each data set is represented in first order logic. Maintained at the University of Dortmund, Germany. ",Artificial
4671,"I/O Connections, Inc. IPDS printing and terminal emulation solutions for the AS/400. ",Hardware
5168,Copacabana Runners Heart &amp; Soul Award Program based in Brazil that recognizes the achievements of webmasters who put Heart and Soul into their sites. English and Portuguese language sites may apply. Rating: AS! 4.0 (Retired) ,Internet
5873,myMMS Offers a multimedia messaging service works with Symbian Series60 handsets. ,Mobile
6235,"Wild Ghost Studios Provides digital video and audio, graphic design, music videos and web commercials. ",Multimedia
9226,UnixServices Collection of small Unix TCP/IP services that run in the background. ,Systems
6711,"Lua Copyright notice From Brazil, programming language framework. ",Open
7205,WSN Gallery Customizable PHP/MySQL image gallery script. [Commercial] ,Programming
5720,Inspirus Provides SMS solution to Australian businesses. ,Mobile
754,"Cadinfo: IntelliCAD Articles A series of articles about IntelliCAD, with background information, feature descriptions, and tips and tricks. ",CAD
5758,"Multilingual Imode Dictionary Multilingual Imode Dictionary. Multiple words translation from/to: English, German, French, Spanish, Russian, Italian and Turkish language pairs. ",Mobile
8463,"nokVAULT Corp A proprietary file system, unique to each installation, to encrypt and hide files. ",Security
6375,"Orbtec A source web design and development, working out of New York. ",Multimedia
6471,"School Music Master [Win] Manage your school's music program. Track personnel, equipment, and music library. ",Multimedia
4099,"Paka's Palace Collection of doll makers, dolls for adoption and related links. Includes the author's profile, computer safety tips and a page on gem mining in Franklin, NC. ",Graphics
9270,"BackupBuddy Performs complete, incremental, and scheduled backups of all software, including built-in applications. ",Systems
3656,"Ittechtips.com Provides instructor-led videos and labs that teach individuals, how to design, build, and deploy Cisco IPv6 networks. ",Education
2844,Guntermann &amp; Drunck GmbH Switching multiplexer and network equipment. ,Data
8765,"BSDtalk Voice interviews of people, often in recent BSD news, about this family of operating systems; as MP3 files, with forum comments. ",Software
3903,"National Computer Science Academy Computer training and certification for software titles like Microsoft Office and Windows, Oracle, and Coldfusion. ",Education
6493,Metasphere Image2swf image conversion tool Free multiplatform tool converts a file or folder of files from any image format into a SWF file. ,Multimedia
4454,"Backgrounds by Skilow Seamless tiled background images, including a Disney section. ",Graphics
1619,"Olsson, Fredrik Swedish Institute of Computer Science - Language engineering, computational linguistics, information extraction and machine learning. ",Computer
8087,RFC 2459 - Internet X.509 PKI - Certificate and CRL Profile PKIX standard that profiles the X.509 v3 certificate and X.509 v2 CRL for use on the Internet. ,Security
6683,Flock Integrates social networking and media services in the user interface aiming to be a Web 2.0 browser. ,Open
1784,"ICME 2000 IEEE International Conference on Multimedia and Expo. New York City, NY, USA; 30 July -- 2 August 2000. ",Computer
9167,"Panhandle Macintosh User Group Pensacola, FL. Special interest groups, overview of a typical meeting, links, officer list, and membership information. ",Systems
4898,"MIPS Technologies, Inc. Makes popular RISC CPU used in consumer electronics, Sony PlayStations, Cisco routers, some SGI computers. Initiated MIPS instruction set. Now an independent company developing processor cores and intellectual property for license. ",Hardware
5442,"VKI Studios Inc Consultants for internet marketing, search engine optimization, website design, e-commerce and digital video services. ",Internet
4593,"America Magcard A provider of smart card technologies in North America. They offer multi-application smart cards, financial cards, photo ID cards, smart card readers, biometric devices and access control systems to customers around the world. ",Hardware
3570,"CCPrep: Training Provider Online internetworking community offering training, white papers, lab scenarios, discussion forums, and career advice for candidates. ",Education
800,"Bentley Institute A subsidiary of Bentley, Inc., provides ongoing training courses and supports third party training partners. ",CAD
6926,"Kraptor 2D shoot'em up made with Allegro. (C) [GNU/Linux, Windows, DOS] ",Open
7306,"Visual Basic Zone A source of technical and how-to information on Visual Basic programming. Articles, tips, product reviews, jobs, conferences. ",Programming
1297,"Sybase Analytics Appliance Appliance that combines offerings including Sybase IQ, PowerDesigner, IBM Power Systems and MicroStrategy8 business intelligence technology. ",Companies
1244,Azure Software Global software services company specializing in firmware and device driver development. ,Companies
7900,"Bertsche Engineering Corp. Robotic components including grippers, gantry loaders, indexers, and automatic tool changing systems. ",Robotics
5632,"Pokit Download free mobile games and mobile software for Nokia, Motorola, Sony Ericsson cell phones. ",Mobile
306,"Chat with Pinecone, an ALICE AI chatterbot Pinecone is the chatterbot that talks about science, religion, and current events, with more than 10,000 responses. Available via Instant Messenger or the Web. ",Artificial
4762,"CPT Global Computer consulting company specializing in performance monitoring and capacity planning of mainframe systems. Site includes information on services, white papers on related mainframe topics, and investor information. ",Hardware
1470,"e-Zest Solutions Ltd. Offers offshore software outsourcing with focus on ISVs, healthcare, finance, manufacturing, and e-learning. Located in Maharashtra, India. ",Companies
7041,"Logo Club Logo students in St.Petersburg Russia, share their ideas and projects. ",Programming
1990,"University of Stellenbosch Department of Computer Science. Research areas include ATM and broadband networks, descriptional complexity, neural networks, program verification and systems programming. ",Computer
5405,"Ukubona Web Design Offers design, multimedia development, custom programming and hosting. Located in South Africa. ",Internet
6430,"Digital White London UK based digital design agency offering high-end flash, web and print solutions. ",Multimedia
1289,CoLink Technology Designs commercial Windows application software and web sites. Lists services available and technologies used. ,Companies
8277,"Xtradyne SOAP and CORBA firewall available on Windows, Linux and Solaris. ",Security
4870,"Critical Data Recovery Services Extracts data from failed, corrupted, or physically damaged media devices such as hard drives, RAID arrays, tapes, and other computer removable media. ",Hardware
5984,Click4WAP Access to the World's top Wap applications all from one easy to navigate wapsite. ,Mobile
3190,"ADTRAN Designs, develops, and manufactures ADvanced TRANsmission products for high-speed digital communications. ",Data
6985,"Mozilla Add-ons Official site for extensions and themes for Mozilla Products, including Firefox, Thunderbird, and SeaMonkey. ",Open
3010,Introduction to CSS3 Draft describing the modularization of CSS3. [Not final specification.] ,Data
3307,"Metrix Communication LLC Embedded wireless kits for outdoor projects. Make a mesh network, community wireless network, hotzone or hotspot. ",Data
937,"Camatic, Ltd. Software for plant and ship design and engineering, as well as for managing the maintenance during lifetime. ",CAD
2137,"Josh Beam Consulting Custom software development/consulting services for Linux and Unix-based systems. Enterprise, Alabama. ",Consultants
7128,"Netcoole J-ASP, converter ASP to JSP. Also migration services from ASP to JSP, Visual Basic to Java, ActiveX component to Java, ASP to ASP.NET. ",Programming
4440,"All Emoticons Find your emoticons (emotion icons) for emails, chatting, message boards and documents here. ",Graphics
2765,"B.A.T.L. Advanced Technology GTW420: terminal emulation for VT420, VT220, VT100, and ANSI ",Data
1095,"The Realtime Group Product development for the regulated industries of Medical, Avionics, Military, and Industrial Control. ",Companies
147,"Revow, Michael Hand-written character recognition. ",Artificial
4535,"G-2 Systems Independent reseller of refurbished Sun Microsystems hardware and peripherals. Lists current special pricing on workstations, servers, storage and upgrades. ",Hardware
4624,"Cardmedia CompactFlash, Smartmedia, MMC memory cards for digital cameras. Based in the UK. ",Hardware
8045,"Nenix Corporation Single sign-on web access management software. Product details, download evaluation copy, news and contact details. ",Security
6804,"AssaultCube (formerly ActionCube) It's a Cube mod (total conversion), team oriented multiplayer first person shooter (Counter-strike like and more). The gameplay is similar to ActionQuake and provides a more ""realistic"" gameplay experience than Cube. (ZLIB license) [win32, linux and bsd (x86), macosx (ppc)] ",Open
6848,Linux Vacation / Eastern Europe International conference of developers and users of free and open source software. Located in Belarus. ,Open
7153,Computational Methods of Linear Algebra By Granville Sewell (Wiley). Site has Fortran 90 and Matlab codes described in text. A description and table of contents are at http://www.wiley.com/WileyCDA/WileyTitle/productCd-0471735795.html . ,Programming
8544,"Plot Maestro A plotting program but also allows you to plot graphs using graph paper. Support for plotting data sets of x, y data pairs. Calculate and plot the best-fit curve to the data set using linear, exponential, logarithmic or power curve fits. [Win 95/98/NT/2000] ",Software
2744,Wikipedia: Tar (file format) Encyclopedia article about the archive file format. ,Data
5580,"E-Call SMS service giving an address book, history logbook, group lists, ringtones and screen graphics. Free and Premium versions of the service exist. ",Mobile
4805,Mtocomputers.net Custom-built computers with parts and repairs. ,Hardware
6315,Audio File Library An API for accessing a variety of audio file formats. ,Multimedia
5918,IEEE Transactions on Mobile Computing This is a leading research journal in the area of mobile computing research. ,Mobile
559,"STEP Tools, Inc. Developers of translation and data exchange software used in the STEP translators of many CAD/CAM software vendors, with an online translation service. ",CAD
3831,Project Management PrepCast The Project Management PrepCast podcast offers over 70 episodes to prepare for the exam. ,Education
2713,Concord Technologies Offers toll free unified messaging services along with fax broadcasting and internet based fax transmission throughout the United States. ,Data
1800,"INDIN 2003 First IEEE Conference on Industrial Informatics. Banff, Alberta, Canada; 20--24 August 2003. ",Computer
6891,"The JED Editor Page Text editor for Unix, VMS, MSDOS, OS/2, BeOS, QNX, and Win9X/NT platforms. A macro language and modes for different editing tasks are available. ",Open
8104,"Microsoft (USA) MSR Research Areas: Vision Technology Group. Vision-Based User Interfaces allow computers to recognize people and interpret what they are doing, using fast algorithms for real-time detection and recognition of people and their gestures. ",Security
6786,"Hydrogen Drum-machine for creating patterns-based music. Site contains project news, downloads, example music, forum, and screenshots. [Linux] ",Open
4937,How to build your own Jupiter Ace by Grant Searle BSc. From the Jupiter Ace Hardware Page. ,Hardware
2173,"J-Tech Engineering Design consulting firm specializing in embedded control hardware, software and firmware product development. ",Consultants
3658,"Suncochin Linux Training Provides courses for RHCE and SCNA track, network solutions, application development, and corporate training tool. ",Education
8177,"St. Bernard Software Solutions to filter web, spam, virus and IM threats. ",Security
9480,HyperCard info and freeware from Ben Lawson HyperCard information and freeware from Ben Lawson ,Systems
7763,"Orion Robots A weblog with tips and help on building robots, robot links and robot designs. ",Robotics
2151,"Heurix, Inc. Sales and support for EIP Assistant targeted toward special educational and home healthcare. System design, web hosting, and project management. ",Consultants
3514,CBT nuggets Offers training videos for MCSE and CompTIA. ,Education
2983,Electronic Specialists Manufacturers interference control as well as surge and lightning suppressors for data lines. ,Data
7175,Magic eDeveloper architect Various eDeveloper samples. ,Programming
7297,When Perl is not Quite Fast Enough Explains how to write fast and efficient code. ,Programming
5035,Gnet Solutions Offers web design and marketing services. ,Internet
2198,N2 Network Solutions Phoenix Arizona based information technology consulting firm. ,Consultants
4464,"Hey Banner, Banner Animated banner ad design featuring award-winning designers and copywriters. Fast turnaround. ",Graphics
1716,"Journal of Parallel and Distributed Computing This international journal is directed to researchers, engineers, educators, managers, programmers, and users of computers who have particular interests in parallel processing and/or distributed computing. Published monthly. ",Computer
9230,Obvious Implementations Corporation Obvious Implementations Corporation ,Systems
112,"Freakycowbot Site for this chatbot, almost always active on AIM. Includes sample conversations and frequently asked questions. ",Artificial
4896,PDP-10 Software Archive PDP-10 commercial software covered by the hobbyist license. ,Hardware
3605,Examcheets Offers braindumps for most major IT certifications. ,Education
6462,Digital Audio Works Music Software and Hardware for the recording and editing of music on the PC or Mac digital audio workstation. ,Multimedia
6685,"Binc IMAP Open source xinetd/tcpserver based IMAP server for the Linux platform, with support for Maildir. ",Open
3683,Epsolon Networks Provider of corporate Cisco certification training. ,Education
6062,"Intrafilms Production services across a variety of complimentary media, including film, video, interactive CD-ROM, DVD, DVD-ROM, DVD video, and internet streaming content. ",Multimedia
325,"Machine Learning at UC Santa Cruz Research on decision theory, neural networks, computational biology, computational geometry, theoretical computer science, on-line learning algorithms, computational learning theory, reinforcement learning. ",Artificial
5181,Grendel Design Offers site design and print media. ,Internet
2681,Wireless Developer Network An information resource for developers and managers interested in mobile computing and wireless data applications. ,Data
4419,Forgesmith and Electroflux Artwork and textures created with the plug-in Filter Forge along with some methods of usage and tutorials. ,Graphics
7516,"Parallax, Inc. Suppliers of the BASIC stamp microcontroller and related components. ",Robotics
7201,Reystar Coolbanner Takes any number of banners (468x60) and rotates them in order using different cool transitional effects to hide one and display the next. Highly configurable. ,Programming
4902,"USB Central Information, tools, and links to material about the Universal Serial Bus (USB). ",Hardware
4351,"Get MSN Emotions Categorized collection of free downloadable emoticons, including alien, PokÃÂ©mon and Halloween themes. ",Graphics
5831,"Fultoomobile Provides mobile wallpapers and Hindi ringtones in keypress, polyphonic and AMR formats. ",Mobile
624,AutoCAD Developers Group Europe A non-profit association of software developers who are working on applications around AutoCAD. ,CAD
6399,Introduction to MOD Explanation of the history and benefits of the MOD music format. ,Multimedia
8236,"Enclave Data Solutions Reseller of MailMarshal, WebMarshal, Jatheon email archival, Akonix IM and other security products. ",Security
6339,"Frameweld An integrated provider of rich media, development, and production services based in New York City. Products include search software for CD, automated SMIL for synchronized presentations, web integration of multimedia, and other services. ",Multimedia
4133,Ortov Original Clip Art Excellent original clipart on CD-ROM. They do offer some free images for download. ,Graphics
4480,"FlamingText.com Create and find all kinds of quality graphics for web pages and other uses headings, buttons, arrows and other page elements, just like the pros. ",Graphics
4456,FreeFont.de by SoftMaker Download high quality typefaces from German font foundry SoftMaker for free. All fonts come with hand-crafted Euro signs. ,Graphics
359,Ally the Chatbot Once upon a time there was a beautiful girl bot. She saved the world and everyone loved her. Her name was Ally. The End. ,Artificial
5470,"WebLinc LLC Offers design, graphics, and multimedia services. ",Internet
3406,Cytal Business Systems BVBA A reseller of digital signage and voice response companies in Europe. ,Data
3787,"Armada Technical authors and writers developing online help and software user guides, including localisation work. Also offer training courses and recruitment services. Located in the United Kingdom. ",Education
1696,"ÃÂbo Akademi Department of Information Technologies. Research areas include programming methodology, probabilistic algorithms, software quality, applied artificial intelligence, and Linux. ",Computer
5906,"Free mobile phone Provides an ""I love you series"" which include male and female names. ",Mobile
2685,Genesis Global Inc. Specializes in buying and selling of preowned Cisco hardware. ,Data
2376,"CAD Tech Resources, Inc. Offers CAD consulting and services and web-based project control. ",Consultants
6340,"Nool's Buzz Page WAV samples for your own productions, buzz tutorials and tips, bmx and MP3 files. ",Multimedia
8325,"Astaro: Integrated Perimiter Security Software Astaro supplies integrated perimeter security software solutions that include firewall, VPN, virus, surf and spam. ",Security
4709,"PC - History Devoted to the history of the PC, covers all types of personal computers from 1970 to present. ",Hardware
7508,"Institute of Robotics and Intelligent Systems IRIS is a part of the Swiss Federal Institute of Technology-ZÃÂ¼rich (ETHZ), and focuses on integrating robotics with the research areas of robotic micro-manipulation, hybrid MEMS, biomanipulation and micromechatronic systems. ",Robotics
1798,SZTAKI Desktop Grid Currently searches for generalized binary number systems. ,Computer
3009,"Chelston Call Systems Provides audio conferencing, recording, and IVR complete systems. ",Data
8280,How to Develop Good Security Policies and Tips on Assessment and Enforcement [Word Document] Invest the time up front to carefully develop sound policies and then identify ways to gauge their effectiveness and assess the level of compliance within your organization. Commit to spending the time and resources required to ensure that the policies are kept current and accurately reflect your company's security posture. ,Security
2545,Linksat A directory of links to satellite providers and communication providers worldwide. ,Data
222,"What Robots Can &amp; Can't Be Essay by Selmer Bringsjord argues that AI will continue to produce machines with the capacity to pass stronger versions of the Turing Test but that the ""Person Building Project"" will inevitably fail. Abstract and chapter summations. ",Artificial
7655,"Eagle Robotics (Team 1388) Located in Arroyo Grande, CA. News, gallery, events, and links. ",Robotics
841,"Deepak Manuel's CAD/CAM/CNC Website A directory of CAD/CAM sites, including manufacturers, trade magazines, and job exchanges [requires Java]. ",CAD
529,"Kubotek USA Product information from the creators of the CAD/CAM package KeyCreator, formerly named Cadkey. ",CAD
3500,"Learning Quest, Inc. Instructor led training in Lotus Notes, Lotus Domino, CIW, INet+, Network+, HTML, XML, Java, Flash, Fireworks, Dreamweaver, MS Office, and Windows. Located in Georgia, United States. ",Education
4036,"Ring of Cartoon Dolls Group of sites with one common theme dolls, the latest craze on the Internet. ",Graphics
5644,"Mmcforums Free Nokia Themes and Sony Ericsson Themes for mobile phones. Share, store, and download mobile themes. ",Mobile
5466,ChitChatting Free Java chat rooms for teens and adults. ,Internet
6161,"Clic Multimedia Interactive agency with projects in a wide range of platforms. Includes design, production and programming in web, mobile, e-marketing, and corporate services. Based in Buenos Aires, Argentina. ",Multimedia
924,"Proficiency, Inc. The Collaboration Gateway is an engineering supply chain collaboration solution for extended design teams, providing interoperability among disparate CAD systems. ",CAD
2572,"Techquila XML Schema Spec Browser Multi-modal topic map browser for the W3C XML Schema specifications, including indexes of the terms used by the specifications and the main concepts of XML Schema. ",Data
6547,Open Source Software in C# (C-Sharp) Directory of open source software focused in C#. ,Open
2422,"Bucher Consulting Strategic planning, ERP, project management and change management. ",Consultants
5816,Sharejar Download and upload mobile Java applications and games. ,Mobile
1516,"GT-VMT '02 International Workshop on Graph Transformation and Visual Modeling Techniques. A satellite event of the First International Conference on Graph Transformation (ICGT 2002). Barcelona, Spain; 11Ã¢ÂÂ12 October 2002. ",Computer
3086,"Mobitex Operators Association Trade organization for wireless data network operators and developers. Provides information on membership, news, and meetings. ",Data
3538,"Technology Training Solutions Professional development for teachers and administrators in the area of integrating technology into the classroom curriculum. Located in New Jersey, United States. ",Education
4226,Teachnet Clip art in GIF format and other education resources for teachers; free with link and attribution. ,Graphics
5681,Tune Us In Free ringtone converter and thousands of downloads for your Blackberry cell phone. ,Mobile
9087,"Mitchell Humphrey &amp; Co. FMS II accounting software for HP 3000, UNIX, and NT servers. Modules include GL, AP, AR, fixed assets, purchasing, inventory, project accounting, budgeting and financial planning. Fund accounting and data warehousing are supported. ",Systems
6183,"Funnelweb Design Derbyshire, UK based company offers Flash animations and games integrated with 3D animation and design. ",Multimedia
4742,"Chassis Plans Manufacturer of single board computers, passive and active backplanes, industrial computers, rack mount and panel mount systems, rackmount keyboards and LCD monitors. ",Hardware
4431,"Mel's Blinkie Swap Blinkie blocks, and banners free to adopt. ",Graphics
6456,"SunTech 3, Inc. Provides quality, motivating and effective interactive multimedia training and information presentation solutions to meet each client's needs. ",Multimedia
1309,"Embeo, Inc. Embedded systems software and hardware design and consulting. TCP/IP client/server, encryption, CIFS/SMB. Custom ASM to C on Rabbit2000/3000, PIC, and other micros. ",Companies
7764,"Robotics Toolbox for MATLAB A public domain Matlab Toolbox for robot kinematics, dynamics and trajectory generation. ",Robotics
1462,Yahoo! Fan Club A forum for discussion of all Yahoo services. ,Companies
9069,Delphi's A2Pro Forum The Apple II programmer's area on the Delphi online service. ,Systems
7289,Password Sentry A tool for paysite webmasters to protect their site from password traders. Test drive Password Sentry using online demo. Free installation and upgrades service. [Commercial] ,Programming
9092,"Locate File search utility allowing objects to be found based on a flexible set of criteria. Filenames can include wildcards and matches can depend on file size, modification date or file type. ",Systems
1347,"Subsume Technologies, Inc. Providing object-oriented analysis, design, and programming services. ",Companies
5126,Hollins.net Free reminders by email. ,Internet
4579,OverClock Intelligence Agency Articles and HowTo's for overclocking and casemods. ,Hardware
9428,treocentral Product reviews and discussion forum for Handspring Treo owners. ,Systems
7237,NUnit An unit testing framework that is open source written in C#. ,Programming
3774,Focus Four Offering computer education for business and the general public. Located in the United Kingdom. ,Education
638,"Ohio Automation Engineering software for electronics CAD, PCB design, PCB layout, mine planning, mine ventilation, and terrain modeling. Easy-PC is a combined schematics capture and PCB CAD software package. ",CAD
4052,Texturebits Royalty free textures for personal or commercial use. ,Graphics
2767,Extracomm Inc. Fax Server for Lotus Notes/Domino. ,Data
3615,"PeopleWare Belgium Specializes in software training, consultancy and development. Borland, Microsoft, Delphi, C++ Builder, JBuilder and .Net. Located in Belgium. ",Education
3835,"Computer Education San Diego, Inc. Microsoft Certified Solutions Provider training systems engineers MCSE/MCSA and Cisco CCNA CCDA CCNP, CompTIA NETWORK+ A+, Novell Certification. ",Education
399,"Pietruszkiewicz, Wieslaw Szczecin Technical University (Poland). Machine learning and knowledge (data) mining, optimal (kalman) filtering, expert and decision support systems. ",Artificial
2883,Wireless Networking and Mobile IP References Wireless Networking and Mobile IP References ,Data
3474,"C-COR.net Corporation Designs and manufactures electronic equipment for use in cable television distribution systems and data transmission systems. Provides full line of technical customer services including network analysis, design, installation, training and maintenance. (Nasdaq: CCBL). ",Data
6531,ZED Small editor with features for programmers. ,Open
7403,Winsock Programmer's FAQ Frequently asked questions with answers for WinSock programmers. By Warren Young. ,Programming
9342,Newsbase E-Mail and News Server for RISC OS. ,Systems
9071,"Edpol Systems, Inc. Maker and distributor of leather cases for handhelds. ",Systems
4193,"Free Clip Art.net All original art in 15 categories to choose from. Each image has 3 sizes, in color, and detail. ",Graphics
846,"J.P. Lanaux, Inc. Develops and sells the Quick-PIPE and Quick-STEEL third-party Microstation add-on software packages for piping and structural steel. ",CAD
9297,"Astraware Developers of action and puzzle games including Text Twist, Bejeweled, and Zap!2000. Game information, screenshots, FAQs, and discussion board available. ",Systems
